location_set_version_id,location_set_id,location_id,ihme_loc_id,location_name,level,parent_id,path_to_top_parent,region_id,region_name,super_region_id,super_region_name,sort_order,location_ascii_name,location_name_short,location_type_id,location_type,is_estimate,most_detailed,lancet_label,local_id,developed,start_date,end_date,date_inserted,last_updated
714,35,44963,RUS_44963,Khanty-Mansi autonomous area,4,62,"1,31,56,62,44963",56,Eastern Europe,31,"Central Europe, Eastern Europe, and Central Asia",70,Khanty-Mansi autonomous area,Khanty,4,admin2,1,1,Khanty-Mansi autonomous area,171,NA,03/06/2020 17:03,NA,03/06/2020 17:03,03/06/2020 17:03
714,35,44954,RUS_44954,Kirov oblast,4,62,"1,31,56,62,44954",56,Eastern Europe,31,"Central Europe, Eastern Europe, and Central Asia",71,Kirov oblast,Kirov,4,admin2,1,1,Kirov oblast,1133,NA,03/06/2020 17:03,NA,03/06/2020 17:03,03/06/2020 17:03
714,35,44922,RUS_44922,Komi Republic,4,62,"1,31,56,62,44922",56,Eastern Europe,31,"Central Europe, Eastern Europe, and Central Asia",72,Komi Republic,Komi,4,admin2,1,1,Republic of Komi,1187,NA,03/06/2020 17:03,NA,03/06/2020 17:03,03/06/2020 17:03
714,35,44909,RUS_44909,Kostroma oblast,4,62,"1,31,56,62,44909",56,Eastern Europe,31,"Central Europe, Eastern Europe, and Central Asia",73,Kostroma oblast,Kostroma,4,admin2,1,1,Kostroma oblast,1134,NA,03/06/2020 17:03,NA,03/06/2020 17:03,03/06/2020 17:03
714,35,44935,RUS_44935,Krasnodar kray,4,62,"1,31,56,62,44935",56,Eastern Europe,31,"Central Europe, Eastern Europe, and Central Asia",74,Krasnodar kray,Krasnodar,4,admin2,1,1,Krasnodar krai,1103,NA,03/06/2020 17:03,NA,03/06/2020 17:03,03/06/2020 17:03
714,35,44973,RUS_44973,Krasnoyarsk kray,4,62,"1,31,56,62,44973",56,Eastern Europe,31,"Central Europe, Eastern Europe, and Central Asia",75,Krasnoyarsk kray,Krasnoyarsk,4,admin2,1,1,Krasnoyarsk krai,1104,NA,03/06/2020 17:03,NA,03/06/2020 17:03,03/06/2020 17:03
714,35,44961,RUS_44961,Kurgan oblast,4,62,"1,31,56,62,44961",56,Eastern Europe,31,"Central Europe, Eastern Europe, and Central Asia",76,Kurgan oblast,Kurgan,4,admin2,1,1,Kurgan oblast,1137,NA,03/06/2020 17:03,NA,03/06/2020 17:03,03/06/2020 17:03
714,35,44910,RUS_44910,Kursk oblast,4,62,"1,31,56,62,44910",56,Eastern Europe,31,"Central Europe, Eastern Europe, and Central Asia",77,Kursk oblast,Kursk,4,admin2,1,1,Kursk oblast,1138,NA,03/06/2020 17:03,NA,03/06/2020 17:03,03/06/2020 17:03
714,35,44927,RUS_44927,Leningrad oblast,4,62,"1,31,56,62,44927",56,Eastern Europe,31,"Central Europe, Eastern Europe, and Central Asia",78,Leningrad oblast,Leningrad,4,admin2,1,1,Leningrad oblast,1141,NA,03/06/2020 17:03,NA,03/06/2020 17:03,03/06/2020 17:03
714,35,44911,RUS_44911,Lipetzk oblast,4,62,"1,31,56,62,44911",56,Eastern Europe,31,"Central Europe, Eastern Europe, and Central Asia",79,Lipetzk oblast,Lipetzk,4,admin2,1,1,Lipetzk oblast,1142,NA,03/06/2020 17:03,NA,03/06/2020 17:03,03/06/2020 17:03
